"lightLink","fl-l href","lazyloaded src","fs14","fs12","title","title href","title 2","title href 2","title 3","title href 3","title 4","title href 4","title 5","title href 5","title 6","title href 6","favorites"
"1","https://myanimelist.net/character/417/Lelouch_Lamperouge","https://cdn.myanimelist.net/r/50x78/images/characters/8/406163.webp?s=b340ff72c9bde1a798414d956a815106","Lamperouge, Lelouch","(ルルーシュ・ランペルージ)","Code Geass: Hangyaku no Lelouch","https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch","Code Geass: Hangyaku no Lelouch Picture Drama","https://myanimelist.net/anime/1953/Code_Geass__Hangyaku_no_Lelouch_Picture_Drama","Code Geass: Hangyaku no Lelouch Recaps","https://myanimelist.net/anime/2124/Code_Geass__Hangyaku_no_Lelouch_Recaps","Code Geass: Hangyaku no Lelouch","https://myanimelist.net/manga/1528/Code_Geass__Hangyaku_no_Lelouch","Code Geass: Hankou no Suzaku","https://myanimelist.net/manga/1530/Code_Geass__Hankou_no_Suzaku","Code Geass: Nightmare of Nunnally","https://myanimelist.net/manga/1547/Code_Geass__Nightmare_of_Nunnally","162,253"
"2","https://myanimelist.net/character/45627/Levi","https://cdn.myanimelist.net/r/50x78/images/characters/2/241413.webp?s=83a46d204220d137d9af0435b7376ebb","Levi","(リヴァイ)","Shingeki no Kyojin: Kuinaki Sentaku","https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku","Shingeki no Kyojin Season 3","https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3","Shingeki no Kyojin Season 3 Part 2","https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2","Shingeki no Kyojin: Kuinaki Sentaku","https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku","Shingeki no Kyojin: Kuinaki Sentaku - Full Color Kanzenban","https://myanimelist.net/manga/70613/Shingeki_no_Kyojin__Kuinaki_Sentaku_-_Full_Color_Kanzenban","Shingeki no Kyojin","https://myanimelist.net/manga/23390/Shingeki_no_Kyojin","135,383"
"3","https://myanimelist.net/character/40/Luffy_Monkey_D","https://cdn.myanimelist.net/r/50x78/images/characters/9/310307.webp?s=46c6bc56eae5ac812b4e8b980c37e91a","Monkey D., Luffy","(モンキー・D・ルフィ)","One Piece","https://myanimelist.net/anime/21/One_Piece","One Piece Movie 01","https://myanimelist.net/anime/459/One_Piece_Movie_01","One Piece Movie 02: Nejimaki-jima no Daibouken","https://myanimelist.net/anime/460/One_Piece_Movie_02__Nejimaki-jima_no_Daibouken","One Piece","https://myanimelist.net/manga/13/One_Piece","Wanted!","https://myanimelist.net/manga/793/Wanted","Cross Epoch","https://myanimelist.net/manga/881/Cross_Epoch","127,799"
"4","https://myanimelist.net/character/71/L_Lawliet","https://cdn.myanimelist.net/r/50x78/images/characters/10/249647.webp?s=24f4c0a61bf0c8bc48e77018b1244340","Lawliet, L","(エル ローライト)","Death Note","https://myanimelist.net/anime/1535/Death_Note","Death Note: Rewrite","https://myanimelist.net/anime/2994/Death_Note__Rewrite","","","Death Note","https://myanimelist.net/manga/21/Death_Note","Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken","https://myanimelist.net/manga/7458/Death_Note_Another_Note__Los_Angeles_BB_Renzoku_Satsujin_Jiken","L Change the WorLd","https://myanimelist.net/manga/8158/L_Change_the_WorLd","123,128"
"5","https://myanimelist.net/character/62/Zoro_Roronoa","https://cdn.myanimelist.net/r/50x78/images/characters/3/100534.webp?s=761f60c41f53a125f29ead922a3dc7de","Roronoa, Zoro","(ロロノア・ゾロ)","One Piece","https://myanimelist.net/anime/21/One_Piece","One Piece Movie 01","https://myanimelist.net/anime/459/One_Piece_Movie_01","One Piece Movie 02: Nejimaki-jima no Daibouken","https://myanimelist.net/anime/460/One_Piece_Movie_02__Nejimaki-jima_no_Daibouken","One Piece","https://myanimelist.net/manga/13/One_Piece","Cross Epoch","https://myanimelist.net/manga/881/Cross_Epoch","One Piece: Mugiwara Daigekijou","https://myanimelist.net/manga/14414/One_Piece__Mugiwara_Daigekijou","101,732"
"6","https://myanimelist.net/character/80/Light_Yagami","https://cdn.myanimelist.net/r/50x78/images/characters/6/63870.webp?s=27f4b328759024d7eca725bdef503c55","Yagami, Light","(夜神 月)","Death Note","https://myanimelist.net/anime/1535/Death_Note","Death Note: Rewrite","https://myanimelist.net/anime/2994/Death_Note__Rewrite","","","Death Note","https://myanimelist.net/manga/21/Death_Note","","","","","92,952"
"7","https://myanimelist.net/character/27/Killua_Zoldyck","https://cdn.myanimelist.net/r/50x78/images/characters/2/327920.webp?s=cbad9040293af1de46fcd7f0f25aed37","Zoldyck, Killua","(キルア=ゾルディック)","Hunter x Hunter","https://myanimelist.net/anime/136/Hunter_x_Hunter","Hunter x Hunter: Original Video Animation","https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation","Hunter x Hunter: Greed Island","https://myanimelist.net/anime/138/Hunter_x_Hunter__Greed_Island","Hunter x Hunter","https://myanimelist.net/manga/26/Hunter_x_Hunter","","","","","92,296"
"8","https://myanimelist.net/character/35252/Rintarou_Okabe","https://cdn.myanimelist.net/r/50x78/images/characters/6/122643.webp?s=ea1349faa1d051356b7efd363c1eb2ca","Okabe, Rintarou","(岡部 倫太郎)","Steins;Gate","https://myanimelist.net/anime/9253/Steins_Gate","Steins;Gate: Oukoubakko no Poriomania","https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania","Steins;Gate Movie: Fuka Ryouiki no Déjà vu","https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_D%C3%A9j%C3%A0_vu","Steins;Gate","https://myanimelist.net/manga/17517/Steins_Gate","Steins;Gate: Boukan no Rebellion","https://myanimelist.net/manga/20699/Steins_Gate__Boukan_no_Rebellion","Steins;Gate: Hiyoku Renri no Sweets Honey","https://myanimelist.net/manga/27965/Steins_Gate__Hiyoku_Renri_no_Sweets_Honey","91,548"
"9","https://myanimelist.net/character/11/Edward_Elric","https://cdn.myanimelist.net/r/50x78/images/characters/9/72533.webp?s=9f5fed244c1a88ee9175baab312ad446","Elric, Edward","(エドワード・エルリック)","Fullmetal Alchemist","https://myanimelist.net/anime/121/Fullmetal_Alchemist","Fullmetal Alchemist: The Conqueror of Shamballa","https://myanimelist.net/anime/430/Fullmetal_Alchemist__The_Conqueror_of_Shamballa","Fullmetal Alchemist: Reflections","https://myanimelist.net/anime/664/Fullmetal_Alchemist__Reflections","Fullmetal Alchemist","https://myanimelist.net/manga/25/Fullmetal_Alchemist","Fullmetal Alchemist","https://myanimelist.net/manga/4658/Fullmetal_Alchemist","Full Metal Alchemist: Prototype","https://myanimelist.net/manga/32409/Full_Metal_Alchemist__Prototype","85,191"
"10","https://myanimelist.net/character/17/Naruto_Uzumaki","https://cdn.myanimelist.net/r/50x78/images/characters/2/284121.webp?s=eb05a7f677d0f3cc6471c542184fa2ea","Uzumaki, Naruto","(うずまき ナルト)","Naruto","https://myanimelist.net/anime/20/Naruto","Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!","https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo","Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!","https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo","Naruto","https://myanimelist.net/manga/11/Naruto","Naruto: Shiro no Douji, Keppu no Kijin","https://myanimelist.net/manga/6028/Naruto__Shiro_no_Douji_Keppu_no_Kijin","Naruto","https://myanimelist.net/manga/6444/Naruto","80,974"
